prompt,target,ngram,seq2seq,gpt2,t5
"know, corps
Joke:","I know the corps works hard, but my laziness is elite.",,I know the corps. The snacks are organized through snacks. Geographic confusion.,"I know the corps, but I’ll just ignore them. ​",I know the corps is empty... but my brain loves me.
"mean, lieutenant
Joke:",What do you mean by lieutenant? He's left with tenant—which is exactly what a lieutenant is.,,"I didn’t mean to do lieutenant, but my ego said it’s okay now.",Mean lieutenant? That's lieutenant. Very professional. Very calm. Very polite. Very efficient.,Mean lieutenant—that's a matter of time. He's a ployer.
"good, completely
Joke:","That's good and completely wrong. I said, How are both true? He replied, Welcome to my life.",,That's exactly what happens—your whole body is begging for a fix.,I'm good—mostly because I think chocolate is the best dessert.,"Good and completely ruined. I replied, I was totally wrong."
"please, position
Joke:",Please position correctly… my furniture has opinions.,,Please: position yourself correctly. I told myself that wasn't the position—until your posture betrayed me.,"Please—position your head—it’s a problem. I asked, Why? He replied, Because I disagree.",Please use this position to make sure you’re still doing it for me.
"know, marked
Joke:",I know marked spots… my memory ignores them.,,"I know marked areas: the subway, the snack bar, my daily routine, and so on. He asked, Why is the snack bar marked? I replied, To remind you my life happened to be marked.",I know marked areas… mostly because they're reminders of past events.,I know marked markings—which are a bit like a joke.
"time, cake
Joke:",Time and cake are similar: both get eaten at parties.,,Time cakes. They're cookies with extra chocolate. Forever regretting.,"Time for cake, the snack of regret.",Time is cake—the cake is a bit more interesting.
"hello, plan
Joke:","Hello, I had a plan, but my schedule said no. ​",,Hello? I'm planning a holiday trip in this building—until my wallet accidentally steals it.,"Hello, plan. My friend asked, What is it? I replied, I just didn’t get it.","Hello, plan. My mind's a mystery—he said, and that's how I don't mind them."
"right, railroad
Joke:","You’re right, the old railroad was slower, but at least people talked to each other, not their screens. ​",,"You’re right, the railroad didn’t stop—it just left, like everyone else's trains.","You’re right, the railroad was a disappointment.","You’re right, railroad. But you’re right, the railroad is too expensive."
"thank, worked
Joke:",Thank you for the plan—it worked perfectly… in my dreams.,,"Thank you, I worked with luck—my confidence betrayed me immediately.","Thank you for the snack. It said 'Work.' I replied, I just finished it.","Thank you for the work. I replied, But nothing worked for me."
"must, became
Joke:",I must have blinked because someone became successful while I was still loading.,,"Must you have stayed? I said, Yes. He replied, That's probably true.","Must have been an established actor. He asked, What was it? I replied, What became of it?","I must have become a leader, but I forgot to say, I didn’t have a new friend."
"right, attended
Joke:","You’re right, I attended—but mentally, I was absent.",,"You’re right, the meeting was nice. We barely tried to hide it.","You’re right, I attended—mostly for my snacks.","You’re right, attended a meeting. I replied, Yes. He replied, You’re right."
"good, whoo
Joke:",A good ‘whoo’ can fix a bad day instantly.,,"That’s good, whoo! I asked, Whoo? He replied, The teacher.","A good, whoo… the alarm clock has to be running.","Good, whoo! He said, I said, My prank."
"look, union
Joke:",I look like I belong in a union meeting but have no idea what's happening.,,"Look at this union. My sister asked, Who's there? I replied, Someone who looks weak in public.","Look, union is my life. My friend asked, Why? I replied, Because it’s my union.",Look and my union is a perfect place for the breakfast.
"like, siegfried
Joke:","I like Siegfried—he’s dramatic and owns a cape, like my coffee mug.",,I’d like to’t say Siegfried’s name every time I get home—but my attention span already judges my Wi-Fi.,"I like Siegfried, but my stomach hates him.",I like siegfried—I have to wait.
"weeks, thank
Joke:","Weeks, thank you… for passing slowly, as always.",,Weeks pass faster when my motivation is slower. ​,"Weeks are nice, thank the snack table.","I’ve been working weeks, and I’ll thank you."
"funny, need
Joke:","You're funny—I need nothing else for happiness. He asked, Seriously? I replied, No—I actually need money, sleep, and therapy.",,"When you need help, say 'it's a joke' and Google Maps will automatically match it. ​","He asked, Are you kidding? I replied, No, I just need your advice.","I’m funny, need to take an argument, but my family said, It’s all too late for my needs."
"wrong, left
Joke:",Wrong turn left… now I’m somewhere with cows judging me.,,You’re wrong on the left. Left with fewer responsibilities.,"I said I wasn't wrong, but my friend asked, What do you mean? I replied, That you're lying.","The right left is left. It's lost. He asked, Why? He replied, No."
"hear, thanks
Joke:","If you can’t hear my ""thanks,"" assume it was there and very sincere. ​",,"He said thanks and I said 'thanks, mostly,' so he could thank me again later.","I hear thanks for ignoring me, but my attention span is literally a GPS error. ​","You hear the thanks, but I’m in my ear."
"done, population
Joke:",I’m done with people—the population can continue without me.,,"Done. Population reached zero. He asked, What? I replied, It’s not happening.",Done. Population density: 0%. That's my job. Progress: zero.,"You’re done with population. I asked, I'm on a population list."
"think, seconds
Joke:",I think seconds are relative; my food disappears faster than time.,,Think faster… even my clocks hate my snacks.,Think seconds… mostly the snack-eating part.,Think seconds and just wait for something to come.
"thank, arts
Joke:",Thank arts for making failure beautiful. Aesthetics of chaos.,,Thank arts for teaching us how to fail. Very thorough.,"Thank arts for giving us confidence. He asked, Why? I replied, Because they give us no pleasure at all.",Thank arts—they're a work of kindness.
"going, professional
Joke:",Going professional—my procrastination skills are unmatched.,,I’m going to meet professional professional help… mainly the coffee.,I’m going professional. The stress is going to worsen.,I went professional—he’s always going to make it to my desk.
"tell, university
Joke:",They tell you university is about education; they forget to mention it’s also group‑project survival training. ​,,"Tell university facts. He asked, Are they lying? I replied, No.",Tell university to teach me… mostly.,"Tell university how to do this? I asked, I replied, That's why you're teaching."
"wrong, hours
Joke:",I knew something was wrong when the assignment took hours instead of minutes.,,Wrong hours—sleep is destiny. The deadline now lies in a century.,"I asked, Wrong hours? He replied, No.",I didn't know about hours—which were too late.
"wait, music
Joke:","Wait, the music stopped—who paused my dramatic entrance?",,Wait—Music. My playlist is dying. Sound as usual.,"Wait, music… or just panic?","Wait, music is in trouble. I asked, What are the memories? He replied, That's something stupid... I said, Then 'I'm 'awesome'."
"know, cite
Joke:",I know how to cite sources; remembering page numbers is the real horror story. ​,,"I know about citations. I asked, How? He said, They're not important.","I know the dictionary is a collection of references, but it’s also a collection of excuses. ​",I know the cite name of my memory.
"please, official
Joke:",Please make it official: I’m retiring from responsibilities.,,Please don’t make me perform official acts… but please do.,Please don’t make my life miserable—I'm official.,"Please, official: You're a reminder. He replied, Yes. I replied, I'm not."
"else, series
Joke:","Everyone else finished the series days ago, and I’m still avoiding spoilers like a professional ninja. ​",,"Else what series? I asked. He replied, Nothing.","Else the series moves faster, the characters lose motivation.",And there's another series... it's the same theme.
"come, products
Joke:",Come see the products… mostly my bad decisions.,,I came here to buy products and now products are disappearing… mostly accidentally.,"Come on, products. I asked, Why? He replied, They're bad.","Come to the products, and my body will be happy."
"come, fleet
Joke:","I told them to come quickly, but they arrived like a whole fleet—dramatic and late.",,"Come visit my fleet. He asked, What? I replied, To keep things calm.","Come on, fleet. I asked, What fleet? He replied, The one you think is lost.","Come, fleet... my heart said, so you’re in for fun."
"thank, studio
Joke:",Thank the studio for the creative prison. We make things in boxes for people who watch in boxes.,,Thank the studio; they have more time than I need to finish work.,Thank the studio—they’re my couch.,Thank the studio for the inspiration—that's the studio where the music works.
"thing, east
Joke:",The thing about the east is the sun rises before I'm ready.,,The thing about the east is that our clothes are built for that.,"The thing is east. I asked, What? He said, Where else?","What's east? I asked, Where? He replied, I'm not going to work."
"would, founded
Joke:","Who would’ve founded a club like this? Oh yeah, us.",,I would founded this company in an ideal world—it would never get started.,Would you founded a business? No. I founded a whole thing.,"Would you be founded? I asked, What? He replied, Why? He replied, No, I replied, Yes."
"dead, chuckles
Joke:","I’m dead inside, but still manage chuckles occasionally.",,Dead chuckles are just the most efficient way of expressing chaos. ​,"Dead jokes are not my thing. My friend asked, Why? I replied, So he can joke about it.",I’m dead—chuckles—because I’m not just dead.
"everything, group
Joke:",Everything about this group is chaotic… mostly my contribution.,,Everything is a group chat—unless you're on vacation.,Everything in a group meeting feels mandatory. ​,Everything is about group. It's the group. My friend's not.
"want, academic
Joke:",I want academic success… but my snacks disagree.,,"What do you want academically? A life lesson with a career. He said, Exactly.",What do you want academically? To be productive. My answer: Nothing.,I want academics... except my stomach.
"going, genus
Joke:","Where's this going? Into the genus of failures. I asked, That's a place? He said, Yes.",,"I’m going from the genus GoToExplore to the genus genus GoToExplore. GoToExplore has three great species: myfugue, jackson and octopus.",Where are you going? From genus to genus. Fresh air. Freshness. And not knowing.,"Going by the Genus: I asked, Why? He replied, The first time I met this."
"know, wins
Joke:",You know who wins? Not me—especially not at board games.,,"I know I won the challenge—my confidence evaporated, my motivation increased.",I know the champion won. I'm still confused as to why.,"I know wins are a big win, but it also wins."
"fine, george
Joke:","I’m fine, George—just existentially tired.",,"I'm fine until George comes with a napkin, which is actually fine until he asks me to leave. ​","Fine George, we’ll start this in a museum.","Fine, george... and your family's shiver."
"want, developed
Joke:",I want developed skills… but procrastination won’t cooperate.,,I want developed skills… mostly in my imagination.,I want developed skills… until I see them in action.,I want developed habits... like the ones I created.
"take, channel
Joke:",Take this channel seriously. It's designed by people who don't. Recursive confusion architecture.,,"Take this channel seriously. No drama here. We're sharing reality. That's friendship, that's friendship like 'I’m getting married now.' ​",Take the channel offline—it just keeps coming back.,Take your channel... I'm not sure why you're talking about it.
"know, housing
Joke:",I know housing is expensive—even my plants are considering jobs.,,You know housing is important when your room already contains snacks. ​,I know housing is expensive—my wallet hates it.,I know housing is my home and my family is not.
"listen, december
Joke:","Listen, December, stop sneaking exams into my holiday spirit.",,"Listen, December is here; snacks and panic time pass faster than us.","Listen, December just got longer. It's just a deadline. Permanent despair.",Listen December—maybe to hear from us.
"might, district
Joke:",The district might look quiet until someone double-parks. ​,,I might end up in a district my dog disagrees with—but I can’t really complain.,Maybe the district is small—my wallet disagrees.,You might be a district—so i guess what?
"mean, robert
Joke:",I didn’t mean to offend Robert; his face did that on its own.,,"Mean roast is roast. You asked, Why? He replied, Because I'm roasted.","What do you mean by ""Pittsburgh?"" Colbert said, That's the most famous line.","You mean robert. I asked, How would you go? He replied, I asked, How? He replied, I said, Yes."
"right, painting
Joke:","You’re right, painting looks great… until my cat adds detail.",,"You’re right, painting isn’t my thing—it’s my background noise.","You’re right, painting helps. We can’t understand it. Painting helps.","You’re right, painting is just an art."
"come, dancing
Joke:",People come for dancing and leave with mysterious injuries. ​,,Come dance on stage; don't join me.,"Come dance. I asked, What? He said, To vanish completely.",Come dancing to your room and play them with me.
"sure, league
Joke:",You sure you want to join the league? Even my cat has better stats.,,"Are you sure you want to join my league? Probably. He said, That's it? I replied, Exactly.","Sure, the league is serious. It's organized chaos and chaos in a nutshell.",I’m sure the league can't change my thinking—she's getting a few questions from the sand.
"something, saint
Joke:",Something saint appeared. Unholy now. Religion: confused.,,Something about Saint Nicholas—it’s hard to believe. He looked like a saint in my imagination.,"Something saintly happened. He asked, What happened? I replied, It's chaos.",Something saint should do with you—this is a shame.
"like, emergency
Joke:",I like emergency—constant. We're permanently in crisis mode. Normal now.,,"I like emergencies, but my brain still waits until the phone battery says'stop.' ​",I like emergency meetings… mostly on the weekends.,I like emergency situations and need a panic alarm.
"even, february
Joke:","Even in February, it's cold. She said, February is always cold. I replied, Even my hopes freeze in February.",,Even February has more pumpkin than the rest of the year.,Even February is cold—the clouds look real today.,"Even for the february break, everyone asked, What? He replied, That’s not my excuse for the winter break."
"well, hong
Joke:","How well does Hong do? He replied, Well enough to avoid me.",,"Well, Hong—I’m good with geography.","That's well, Hong Kong's my coffee buddy.","Well, Hong Kong is here—and the Chinese can’t do much anymore."
"best, population
Joke:","I did my best, but apparently the whole population had better ideas.",,"The best population is in your group, not your inbox.","This is the best population survey ever. Very thorough, thorough, and honest.","Best population? I asked, What? He replied, He asked, Why? He replied, Why? He replied, No, that's all just fine."
"think, nine
Joke:","By nine in the morning I think I've earned a nap, but the day has other plans. ​",,"Think nine times, then get six seconds of sleep.","I think nine years is long enough, but my brain forgets to think twice before procrastination strikes. ​",I think nine books have a purpose... but my heart still has it.
"came, wants
Joke:","He came, he saw, he wants snacks.",,"What brought you to us? He asked. I said, Because you wanted it. He asked, Why? I said, To be understood.","Come see me for what? I said, I wanted to know. He replied, The problem.",He came out of the house—that's what we want—in the end.
"tell, received
Joke:","They tell me my message was received, but the silence says it was archived in ""maybe later."" ​",,"Tell me when the receipt says receipt, not text. ​",Tell the message received—it’s received.,Tell me what received my recollection—that’s my recollection.
"thing, model
Joke:",The thing is a model of efficiency. In failing efficiently. Revolutionary approach.,,"The thing about the model is it’s an illusion, and nobody knew it until the photos. ​",The thing about a model is that it's easy to judge. ​,"What's the thing about model? I asked, What? He replied, What? I replied, He said, It's just not."
"know, greece
Joke:","I know about Greece. My friend asked, What? I replied, It exists somewhere with islands.",,"I know Greece exists. My friend asked, Why? I replied, For being here.",I know Greece has islands… mostly built for tourists.,"I know the Greeks. I asked, How does the Greece affect me? I replied, Then the truth."
"full, happened
Joke:","My storage is full—how did this happen? Oh right, screenshots.",,"I told him everything happened—because he said 'why? Why didn't you mention it?' I asked, Why didn't he mention it? He said, Because it's personal now.",I tried to do the full story—I ended up crying my life out loud.,I was full of that happened—which happened to my stomach.
"excuse, early
Joke:","Excuse me, is it early? He asked, Early for what? I replied, For me to leave.",,"Excuse me, early disappointment—my patience was late.",Excuse the early morning snack rush—I’ll get coffee later.,A excuse for early morning coffee. You're reliant on the clock.
"look, capital
Joke:","Whenever I look at a country’s capital, my brain automatically adds ""too expensive"" next to it. ​",,Look at this capital. It's a place where your fancy excuses die hard when you think about how hard that looks.,"Look, the capital sounds fancy—especially when you've lived in a hotel.","I look like capital. He asked, What? I replied, Yes."
"something, studio
Joke:",Something about the studio makes me doodle snacks.,,"Something's a studio, but the music keeps screaming 'I’ll work!'",Something's in the studio. We're working together to make it perfect.,Something about the studio is what we do. It's about the studio.
"handle, also
Joke:","I can’t handle this assignment—also, I never could in the first place.",,"Can you handle the assignment? I'm still confused. He asked, Finally? I replied, Finally, finally.","Do you handle it well? I also tried. He said, That's what you do. I replied, Very well.",I handle my issues... also it is a bit awkward.
"give, fish
Joke:",Give a man a fish and he eats; give him Wi-Fi and he forgets to eat.,,"Give me fish—if you want me.""","Give me fish. I asked, Why? He said, Because I'm hungry.","Give it a fish. We're all hungry, so I'm still hungry."
"want, fleet
Joke:",I want a fleet… of snack delivery drones.,,"What do you want in the fleet? I said, Nothing. He replied, Finally what?",I want a fleet of snacks—just like the ones my mom asked for.,I want a fleet—to a good level.
"right, forgive
Joke:","You’re right, I forgive you—but I won’t forget the last slice you stole.",,"You’re right, forgive me—it’s a choice I made.","You’re right, forgive me for procrastination.","You’re right, forgive me. I asked, Where? He replied, Well, I forgot."
"really, foreign
Joke:",Are you really foreign? Or just foreign to success? Both? Excellent.,,This guy really wants foreign languages. He came here so he can say he doesn’t understand them.,I really thought I'd been born overseas—then realized I’ve been here too.,I'm really foreign... but my mind is just like the one I know.
"really, schools
Joke:",Schools are really competitive; everyone wants the highest GPA and lowest stress. ​,,They really taught us—we're all now taught to miss deadlines.,I really tried to visit schools… they're haunted.,I really think schools are pretty—scientifics are very important.
"things, united
Joke:",Things were united… until the group project started.,,"Things about the United States are very united; people speak slowly, unlike my productivity.",Things are united… mostly at the cost of my sanity.,Things are united—they're still 'perfectly organized'.
"good, genus
Joke:","That's a good genus for a plant. She asked, What's a genus? I replied, Something I'm apparently good at naming incorrectly.",,"That's good, genus… mostly for snacks.","That’s a good genus, I think—mostly my allergies.",I think that genus is good—and is a great genus.
"love, wear
Joke:",I love what you wear—especially when it’s borrowed from confidence.,,I love to wear makeup—except my eyebrows.,Love your outfit—that's why your wallet is so efficient.,Love wear for life—just because I always wear glasses.
"thank, tony
Joke:","Thank you, Tony, for proving that every group needs at least one person who knows Excel. ​",,Thank Taylor for teaching me that patience is a skill.,"Thank you, Tony, for being so kind to me. I said, I'm just a comedian—my personality is mine. He replied, What did you mean?","Thank you, tony, for stealing my laptop."
"keep, university
Joke:",Keep university… and your sanity separate.,,Keep university safe until you graduate.,Keep university in mind—it’s where life ends.,Keep it—your university's one-year career.
"like, steele
Joke:","I like Steele’s confidence—solid as his name, slippery as his excuses.",,"I like Steele, the actor whose character sketches the plot.","I like Steele. He says he does. I replied, He’s right. He replied, He’s not impressed.",I like steele—because it's fine.
"name, happens
Joke:","Name what happens. It's existence. The event nobody asked for, nobody wanted, happening anyway.",,Name happens—are you kidding me? I’d bring a friend today.,Name happens—you’re in luck.,No name happens—my brain really doesn't know what to say.
"want, issues
Joke:",What do you want? Issues. To discuss. We've got unlimited supply.,,I want answers from everyone; nobody can reach them verbally.,"I want issues, not deadlines.",I want issues but not anything.
"guess, city
Joke:","I guess the city life isn't for me; too many people, not enough snacks.",,Guess the city is quiet now. My guess is the traffic signals are fine now.,"I guess I’m a city official, but I prefer life elsewhere.",I guess the city is where I sleep—in a room.
"fine, book
Joke:","It’s fine, the book is only 900 pages; your weekend had no other plans anyway. ​",,That's fine—they're fine books. A book is the first rule of life.,I'm fine; I just finished reading my book—and it's a metaphor for failure.,Fine book! It's fun to book... especially when you're in a bookstore.
"right, income
Joke:","You’re right, my income is playing hide and seek.",,"You’re right, income matters… mostly for my snack addiction.","You’re right, income matters—except when it's just enough to make snacks.","You’re right, income matters. Not everyone's right."
"believe, music
Joke:",I believe music is magic—especially when it hides my terrible singing.,,"When music plays, my attention span immediately forgets me.",Believe music is my music.,Believe music. This is the first song you’ve ever heard about.
"find, university
Joke:",I tried to find the university library but ended up in the cafeteria—close enough.,,"Find university. I asked, Why? He said, Because it matters now.",Find university—it's where I think I belong. Where my brain disagrees. Unrealistic failure.,Find university—there's a good location for university students.
"know, fleet
Joke:",I know the fleet is large—parking must be a nightmare.,,You know the fleet is impressive when the snacks come flying away faster than the stress. ​,"I know the fleet is fleet-centric, but does it really exist?",I know the fleet is the most fleetly—and it's a bit more fleet-friendly.
"look, producer
Joke:","Look, the producer of chaos strikes again.",,"Look at what producer wants. I say, Make it tolerable, not insane.",Look at the producer's voice—they’re all actors.,Look at the producer—he’s not just a producer.
"baby, century
Joke:",A baby of the century… mainly because it refused naps.,,Baby—the century's over—now your sanity is a metaphor for snacks.,Baby—we're gonna be the century of the century. Forever.,"Baby, century! I asked, How do you? He replied, When I read the book?"
"know, council
Joke:",I know the council meeting is serious when the snacks get their own agenda item. ​,,I know the council is secretive—they're all members who hide behind cryptic signs.,I know the council is busy—but mostly my snack stash is consumed for snacks.,"I know the council's meeting is a bad thing, but my friend said, I'm not a good group."
"like, active
Joke:","I like active people. They're running away from something. Same goals, different speeds.",,"I’m really active at work—mostly as a keyboardist, but also mostly mentally.","I like active people, but I like the drama.","I like active, so I'm not happy."
"listen, district
Joke:","If you listen carefully in our district, you can hear the sound of honking, construction, and one lonely bird. ​",,"Listen, the district doesn’t look like a party… except the Wi-Fi.",Listen—Districts matter. We're not even close to meeting the deadline.,"Listen, district's trash. His mind is a lot broader."
"know, approved
Joke:",I know approved means… mostly it’s pending somewhere.,,I know the approved class is reserved for introverts and introverts. ​,I know approved behavior… mostly from Instagram.,I know approved me. Then there's a bug that's all the time.
"everything, michael
Joke:","Everything about Michael is wrong. He asked, Is that his name? I replied, Probably not.",,Everything Michael has changed since we met—he’s just chaos.,"Everything Michael touches—his personality, my life.","Everything is michael. I asked, Why? He replied, Who? I replied, That's right, that's right."
"thanks, control
Joke:",Thanks for control… but I prefer controlled chaos.,,Thanks control… it's the snack bar.,"Thanks for controlling everything. I asked, What? He replied, You're controlling my life.",Thanks for controlling the sanity... because everything else is completely automatic.
"born, supposed
Joke:",I wasn’t born to be productive—at least that’s what I’m supposed to believe.,,Born supposed. Badly. He didn’t arrive.,Born supposed to solve problems. That's the way life is supposed to be. Perfectionist.,Born supposed—this is not what I mean.
"really, states
Joke:","I really tried to visit all 50 states, but my wallet vetoed the idea.",,"Is that really America? Yes. They really care. He asked, Really? I replied, Yes, really, based on what they see.",I really feel like states are my specialty—I'm not ready for anything emotionally.,Really states have some problems—they’re just the ones that aren’t going to be.
"nice, killed
Joke:",Nice outfit! Shame the mirror killed my confidence in 0.2 seconds.,,Nice killed—but mostly I ate cookies and cried.,Nice—dead already—like a machine.,Nicely killed your mind. It was a bad thing. We're still in trouble.
"second, watch
Joke:","Give me a second to watch this. Three minutes later, I complained. He said, I was watching too—we both lost time.",,"Second time, watch the playlist—it's chaotic. We're all chaos in existence. Very thorough and efficient.","Second watch… not the most dramatic disappointment, but still impressive.",I was second—you watch something like that.
"looks, help
Joke:","He looks like he needs help, but I look worse.",,"You look like you help yourself—I asked, Is that help? He said, Yes, you’re helping.",Looks like help is arriving. It’s the only hope.,Looks like you need help—especially when you're ignoring them.
"please, almost
Joke:",Please don’t scare me like that—I almost remembered my responsibilities.,,Please don’t blame me for my procrastination; I definitely saved your procrastination.,"Please don’t pretend you like this. He asked, Why? I replied, Because you’re too smart for it.","Please, almost everyone has a problem."
"please, probably
Joke:",Please don’t tell me probably—my anxiety hears definitely.,,Please don’t think I’ll take forever—my soul still doesn’t know how long.,Please don’t answer—it’s probably time to leave.,Please don't know why. You're probably still probably missing a clue.
"sure, evidence
Joke:",Are you sure? Evidence is everywhere. That we're failing. Documented proof.,,"Sure, evidence is strong—why does this exist? Physics. He said, That's the evidence for nothing.","Sure, evidence exists… only the most dedicated of experts can prove it. ​",You know evidence is right—because your mind is still a good example.
"still, whoo
Joke:","Still, whoo! Survived another Monday.",,"Even in my dreams, what did you believe? He asked, What did you believe anyway? I replied, Everything.",Still laughing—you’re still a mystery.,"I still’m still, whoo. I asked, What? I replied, I replied, You’re still listening."
"think, member
Joke:",I think each member brings chaos—some more than others.,,I think the member of the group is kidding—they're not voting.,"Think about the member. He says, He’s the one who thinks, ""Whoa, that’s the group I belong to.""","I think a member should be able to do that. I replied, I’m a fan of my phone."
"thanks, london
Joke:","Thanks, London—your weather ruined my outfit again.",,Thanks London for the advice—mostly when my cat's running away.,Thanks London for reminding me about my daily routine.,Thanks to London for the holiness—six years ago.
"love, bloody
Joke:",I love your bloody dramatic speeches—are you auditioning for Shakespeare?,,I love bloody snacks—until they break my plate.,"Love bloody things, especially if they're edible. ​",Love your bloody mind... and we’ll end up with our sweets.
"something, include
Joke:",Something should include snacks… always a priority.,,Something in your schedule is included in my responsibilities.,Something must be included—it’s what counts.,"Something to include? He said, He asked, What? He replied, It's not a word, but a word."
"good, villages
Joke:",That's good for villages. They're tiny failures with charm. Adorable regret.,,That's a good village—mostly my GPS thinks I left too early.,"That’s good, villages. My luck is high enough now to run away.","Good villages... like a town? It's all beautiful, but no one can do it."
"worry, friend
Joke:",Worry about friend. They worry about you. Mutual concern for mutual failure.,,I worry that friend is my snack stash.,The worry friend’s my motivation—they hate me for pretending to understand.,They worry the friend—I’m still avoiding them.
"right, plans
Joke:","You’re right, plans change—especially the ones I make.",,"You’re right, my plans are complex… but my productivity.","You’re right, plans are optional.","You’re right—plans aren’t going to work. I replied, It’s just a mess."
"right, edited
Joke:",You're right—edited. Things removed. Happiness cut from the film.,,"You’re right, edited text was fun.","You’re right, edited the text.","You’re right, edited? I replied, I’m just editing a book."
"well, peak
Joke:",How well to peak? Then descend. The trajectory is known.,,"Well, peak means nothing. Very efficient use of our energy.","Well, peak is hard.","Well, peak is the one, the next in a row."
"love, technology
Joke:",I love technology—it delivers snacks and excuses.,,Love technology… mostly in the form of confusing notifications.,"Love technology—it's like life in a museum. I said, Why? He replied, Because technology doesn't help.","Love technology. The problem is, there’s no need for me."
"VP Harris Heads To Romania As Ukraine Refugee Crisis Grows
Joke:",Harris is going to Romania for refugees. That's showing up when people need help.,,"Harris's visit helped spread refugees—after all, Putin is the kind of dictator you would think would show up in your emails.",Harris heads to Romania for refugees—that's a serious commitment.,VP Harris is getting his back from Romania—as refugees grow.
"Grammys 2022 Red Carpet: See All The Best, Wildest And WTF Looks
Joke:",Grammy fashion was INSANE. Some people looked like they lost a fight with a Michaels store.,,Grammys red carpet looks like a haunted house—probably just a movie poster.,Grammy red carpet is wild—and awards showroom chaos is a theme song.,Who's the best? The radio shows are the best... the best movies are the worst.
"Rain Dampens The 1st White House Easter Egg Roll Since 2019
Joke:",Rain dampened the Easter egg roll—that's God saying 'this administration's had enough.',,Rain dampens the Easter egg roll again—this time with fewer Easter eggs.,Rain dampened the Easter egg roll—now that's a holiday tradition.,Rain Dampens The first White House Easter egg roll—his name is still not in his shoes.
"Progressive Group Tries To Diversify Democratic Staffers
Joke:","Democrats are trying to diversify—that's overdue, like trying to diversity your friend group in your 40s.",,"The GOP's trying to diversify its staff—that's called 'creative diversity,' not 'free agency.'","A group is trying to diversify, but it's mostly on the spot—mostly with the naysayers.",Progressive groups say it's a group trying to diversify Democratic staffers.
"Ex-Watergate Prosecutor Says Georgia Probe Is The One That Could 'Send Trump To Jail'
Joke:",A Watergate vet says Georgia's the one—that's the most damning comparison.,,A former prosecutor told reporters she's tired of Georgia.,Georgia tried to charge someone—that's a legal system that's basically a judge for every politician.,Prosecutor said Georgia's an investigation—that's the one that would have been'savaged in the jail.'
"'The Godfather' Star James Caan Dead At 82
Joke:",Caan was a legend—now he's a memory in the movies.,,Caan's back with the help of the ghosts—and Hollywood just can't take pity on that actor.,Caan died aged 82—that's like a lot of actors dying in dramatic fashion.,"It's the life of James—who didn't make the story so much, but the story 'wanted.'"
"Amy Schumer's Joke About Kirsten Dunst Being An Oscars Seat Filler Made People Cringe
Joke:",Amy's joke bombed. She swung for the fences and hit herself in the face.,,Amy said Kirsten might be an Oscar contender—and people cringe with that.,Schumer made a joke about Kirsten being an Oscar seat Filler—we're all just laughing at it now.,Amy made people cry—it's the first thing to go with this because her job was essentially a steal.
"Idaho Becomes First State To Pass Copycat Texas Abortion Ban
Joke:",Idaho copied Texas's abortion ban. That's how you know it's working—when OTHER states steal it.,,Idaho became the first state to pass a copycat abortion ban. This was supposed to be a joke—they're actually raising money for families.,"Idaho's a copycat state—it's basically saying 'we don't need your support, we don't want the law and we'll just chill.'",Idaho is the first state to pass copycat—that’s the first state in Texas to pass it.
"Putin's War Could Worsen The Impact Of COVID-19 In Ukraine
Joke:",Russia's war could worsen COVID in Ukraine. That's like kicking someone while they're down.,,"Putin's war could worsen COVID—the world is already getting COVID hysteria, but who's paying the price?",Putin's war could undo COVID—that's Putin's war.,Putin's war could worsen COVID—which was then a very hot thing.
"31 Patriot Front Extremists Aiming To 'Riot' At Idaho Pride Event Arrested: Officials
Joke:",Thirty-one extremists got arrested before the Pride riot—that's called a plot twist.,,Patriot Front extremists arrested for rioting. That's justice being jailed.,A 31-year-old group of extremists are targeting an Idaho Pride event—that's violence and intimidation at their own wedding.,"I had to get to the race stage, but it's a big accident."
"Monkeypox: What You Need To Know About The Virus
Joke:",Here's what you need to know about monkeypox—yeah another one.,,Monkeypox is everywhere—except in your shoes.,Monkeypox infected humans—they're fine.,My laptop is infecting me with a virus—this is what is not an incredibly common problem.
"Cleveland Browns QB Deshaun Watson Apologizes 'To All The Women I Have Impacted'
Joke:",He's apologizing to women—hope they accept his apology while accepting his suspension too.,,He apologized to women—nobody asked a question from him.,He apologized to all the women—he's also the most famous person ever.,Deshaun said 'to all the women I have impacted'—it's all a coincidence.
"Republican Senate Candidate Charged With Making False Child Trafficking Allegations
Joke:",He made false trafficking charges—because apparently elections justify anything.,,He's arrested—that's what happens when people can't prove trafficking.,He's accused of making false accusations—that's like blaming someone you love.,Democrat republican accused of false trafficking said nothing.
"Twitter Beef Between Rep. Marjorie Taylor Greene and Jimmy Kimmel Enters Its 2nd Day
Joke:",MTG and Kimmel beefed on Twitter—that's a fight nobody was asking for but we're watching anyway.,,"MTG beef erupted back in January. Colbert asked about it. MTG asked about it back in January. Kimmel asked, How did it start? MTG said, The moment that people",The Twitter beef broke 2 days ago—that's when Kimmel took it personally.,"She's calling out the'remain of a fire,' and she's all on the night, she's getting a'snap up' feeling that's like a laugh."
