word1	word2	headline	joke
nothing	members	-	Nothing about the members is good. He asked, Not even one? I replied, Especially not one.
wait	research	-	Wait, research says snacks improve focus… or so I believe.
maybe	series	-	Maybe we should start a series; binge-watching is a lifestyle.
help	span	-	Help me understand the span of my procrastination. ​
wait	served	-	Wait, I served the food… why is everyone scared?
know	railway	-	I know the railway is late when even the pigeons at the station look impatient. ​
know	brophy	-	I know Brophy said he’d help, but now he’s mysteriously offline.
hurt	course	-	Of course it hurt—I have feelings, unfortunately.
think	teams	-	I think teams are great… until they argue over snacks.
think	animals	-	Sometimes people think animals are weird, but have you seen humans arguing in comment sections? 
good	designed	-	Good designed plans… except when my cat sabotages them.
like	ships	-	I like ships… mostly the ones in my bathtub.
thank	follow	-	"Thank you; I'll follow up, which professionally means ""I will email again."" ​"
remember	member	-	Remember the member who never showed up? Yeah, that’s me.
found	kidding	-	Found something—kidding. There's nothing here. Emptiness is thorough.
right	distributed	-	You’re right, distributed snacks avoid conflicts.
know	collection	-	I know about your collection. He asked, How did you find out? I said, I know things.
tell	field	-	I tried to tell the field a joke, but it just waved.
think	intelligence	-	I think my intelligence is hiding until finals are over.
really	species	-	I really think this species evolved purely for comedy.
think	jackson	-	Think Jackson. Music star. Still can't escape disappointment. Fame failed.
really	chart	-	I really tried to read the chart, but it looked like spaghetti got promoted.
guys	written	-	You guys were written into existence. Badly. The author should revise.
know	consists	-	I know it consists of many parts… my brain disagrees.
know	programs	-	I know programs are complex… like my attempts at cooking.
want	whoo	-	I want excitement—WHOo! Said the owl, probably mocking me.
house	quite	-	From the outside the house looks quiet, but inside the group chat is on maximum chaos. ​
thing	king	-	The funny thing is, the king still can’t find his crown in his own castle.
hello	however	-	Hello! However… I forgot what I was going to say.
tell	governor	-	Tell the governor about this. I did. He asked, What did he say? I replied, Nothing—he governed.
like	squad	-	I like squad—unit. Organized failure. Squadding is efficient.
police	music	-	The police stopped me for my music. I asked, For playing it? He said, For making it.
know	naval	-	I know naval battles are serious, but the tiny sailor hats crack me up.
stop	jesus	-	Stop in the name of Jesus. I asked, What am I stopping? He said, Hopefully your talking.
think	performed	-	I think I performed well—my anxiety disagrees.
good	annual	-	Good annual meeting—mainly for the free snacks.
going	built	-	Where is this going? Into buildings built long ago. I said, That doesn't answer me. He replied, Neither does your question.
said	located	-	You said it was located nearby, but I’m already three wrong turns deep.
hear	english	-	Hear English—language of colonialism and confusion. Beautiful redundancy.
know	boundary	-	I know boundaries are important, but snacks at 2am don’t respect them.
going	april	-	Going to April’s chaos festival—also known as my desk.
wanted	following	-	I wanted the following things: sleep. Only sleep.
thank	hill	-	Thank you, hill, for making me question all my life choices during that climb.
hello	half	-	Hello, half-eaten sandwich—my lunch and regret combined.
said	hate	-	He said he hates me. I said, Finally—honesty. He replied, You should hate yourself.
know	contains	-	I know contains chocolate… and all hope is lost.
anything	based	-	I’ll do anything based on snacks and naps.
also	laughs	-	He also laughs at his own jokes—someone has to, I guess.
please	town	-	Please don’t send me back to town—everyone knows my business.
wife	worry	-	My wife told me not to worry—so obviously I panicked more.
know	chaos	-	I know chaos—it’s my daily routine.
check	became	-	Check what became. Everything bad. Progress toward disappointment achieved.
think	airport	-	I think the airport hates me—delays, gates, and lost luggage prove it.
like	strike	-	I like strike days—they give me extra nap time.
hello	dead	-	Hello? My phone battery is dead—guess it finally gave up on me.
look	football	-	If you look at my football skills, you’ll understand why I’m on the bench.
know	naples	-	I know Naples—mainly because of pizza cravings.
know	quarter	-	You know it’s the last quarter when everyone pretends they studied.
stay	population	-	Stay—the population is growing. More misery. Volume discount on regret.
know	hamlet	-	I know Hamlet—he’s basically me overthinking homework.
good	unit	-	Good unit, mostly in video games, not real life.
understand	round	-	Understand round. Circular logic. No escape velocity possible.
nice	whoa	-	Nice—whoa, didn’t expect that twist.
good	referred	-	Good referred idea: share snacks generously.
think	weapons	-	I think weapons are dangerous… mostly my pen collection.
right	sold	-	You’re right, they sold out—because I waited too long.
find	played	-	I can’t find where I played it—my memory uninstalling itself.
make	international	-	Make something international—suddenly it's everybody's problem.
sure	council	-	I'm sure the council will decide quickly, said nobody ever. ​
please	south	-	Please don’t send me south—the heat and I aren’t friends.
hello	problem	-	Hello, problem—didn’t expect you this early.
know	tested	-	I know tested—we've been tested. Failed. Multiple times. Academically proven incompetent.
thank	cause	-	I thank coffee, the cause and solution of most of my productivity problems. ​
want	becoming	-	I want becoming a professional slacker to count as a career. ​
please	whose	-	Please tell me whose this is. I said, It's nobody's. He replied, Please stop lying—it's clearly someone's.
right	texas	-	Everything’s bigger in Texas, even the arguments about who’s right.
want	louis	-	I want to be as cool as Louis, who just showed up and impressed everyone. ​
want	championships	-	I want championships, but my stamina wants naps.
thank	december	-	Thank December for reminding us that blankets > responsibilities.
dead	trust	-	Dead trusts nobody. I asked, Why? He replied, Because we're dead.
right	homed	-	You were right—and we homed in on you. I asked, Is that a good thing? He replied, Not when you're the target.
come	entered	-	People come for the free Wi‑Fi and leave having accidentally entered a three‑hour meeting. ​
really	families	-	"Holiday dinners are where people really learn how different families define ""on time."" ​"
call	known	-	"Some call it procrastination; it’s also known as ""creative deadline management."" ​"
world	chuckles	-	The world chuckles every time I make a plan.
sick	first	-	Sick from the first day. It's chronic now. We're permanently infected with reality.
never	plant	-	Never plant anything here. The soil is disappointment-based. Nothing grows except dread.
know	disc	-	You know it's a disc when it spins and the music stops at the dramatic moment. ​
help	chief	-	Help the chief understand that chaos is not a management strategy. ​
think	developed	-	I think I developed a skill… but it ran away before I could use it.
know	entertainment	-	I know entertainment—mostly snack-induced.
know	tissue	-	I know I’m emotional, but even my tissue was like 'bro, relax.'
sure	center	-	Sure, the center exists… unless my GPS has other plans.
always	john	-	John always arrives late—he thinks time is a polite suggestion.
leave	population	-	If I leave this room, the population drops by one… unless my introversion counts as two.
back	exist	-	Get back—to existing. No escape from the human condition. Very thorough.
everything	english	-	"Everything sounds fancier in English until you realize it's just ""out of stock."" ​"
thank	institute	-	I thank the institute. He asked, For what? I replied, For teaching me to be confused professionally.
tell	signed	-	Tell me why you signed me up without asking?
anything	album	-	I’d do anything for a good album drop—except wait patiently.
nice	original	-	Nice original idea—snacks for breakfast.
told	production	-	They told us production increases. It did. Quantity of failure increased too.
know	capacity	-	I know my capacity… for procrastination, mostly.
know	scientific	-	I know the scientific method—panic, trial, error, repeat.
pardon	look	-	Pardon, look away—I’m eating your dessert.
mean	census	-	I didn’t mean to lie, but the census feared my snack hoarding.
still	gasps	-	Still gasping for air? He asked. I said, Always.
know	preston	-	I know Preston… mostly as a confusing name in my notes.
look	according	-	Look, according to the manual, this should work—it doesn't. ​
think	ohio	-	Think Ohio. That's the joke. Ohio is its own punchline now.
think	elements	-	I think elements align—snacks, coffee, naps.
want	literature	-	I want to get into literature, but every book I start gives up on me first.
getting	including	-	I’m getting everything done, including forgetting things.
someone	near	-	Someone near—watching. Failure with audience. Performance anxiety justified.
know	title	-	I know the book’s title, but not the plot; that’s how you can tell I studied it in school. ​
come	gallery	-	Come gallery, admire my confusion with modern art.
hello	player	-	Hello, player—did you level up, or is that just confidence?
wanted	march	-	They wanted March. It came. Then left. Temporal betrayal.
stay	times	-	Why did the calendar stay at the party through modern times? Because it didn't want to be a relic of old times.
mean	visit	-	I didn’t mean to visit, but Google Maps betrayed me again.
course	january	-	Of course it's January. I said, What about it? He replied, I hate it.
someone	center	-	Someone at the center stole my pen… again.
getting	school	-	Getting to school is easy—mentally arriving is the hard part.
-	-	Facebook Is Still Allowing Mug Shots Even Though They Can Ruin Lives	Facebook allows mugshots—destroying lives for engagement.
-	-	Novak Djokovic Beats Nick Kyrgios For 7th Wimbledon Title	Djokovic won—and Kyrgios's attitude couldn't save his serve.
-	-	BMW, VW Warn Of Shortages From Part Suppliers In Ukraine	BMW and VW are warning about shortages from Ukraine. That's the supply chain hitting luxury cars—oh no, rich people have to wait.
-	-	Memphis Police: Arrest Made In Jogger's Disappearance	They finally caught up with the suspect—unlike the jogger who never got to finish her run.
-	-	Uvalde Victims' Families, Survivors Plan Multi-Billion Dollar Lawsuit	They're suing for billions—because no amount of money can bring back their kids.
-	-	U.S., E.U. Announce New Partnership To Undercut Russian Energy	The US and EU undercut Russian energy. Russia's like 'oh no anyway.'
-	-	Stocks Fall, Oil Tops $100 A Barrel As Ukraine War Rages	Stocks dropped as oil hit $100. The economy's following the war.
-	-	Comedian Stunned After Asking Man In Confederate Flag Shirt If He's Pro-Slavery	A comedian asked about slavery—and the answer was exactly what you think.
-	-	Trevor Noah Busts Putin For 'Another S**tty Thing' He's Doing To Screw With U.S.	Trevor's naming Putin's games—at least someone's keeping score.
-	-	Hope Solo Asks To Postpone Hall Of Fame Ceremony So She Can Go To Rehab	Hope postponed her ceremony for rehab—that's honest, that's hard, and that's respect for herself.
-	-	Ms. Pac-Man Clears Path To World Video Game Hall Of Fame	Ms. Pac-Man made the Video Game Hall of Fame—finally, gaming acknowledges that women existed before 2015.
-	-	House Lawmakers Approve Resolution Allowing Their Own Staffers To Unionize	Congress voted for staff unionization—shocking.
-	-	Kentucky Shatters Its Fatal Overdose Record; Fentanyl Blamed	Kentucky broke its overdose record—and nobody's throwing a celebration parade.
-	-	This Made Me: How Pop Culture Has Shaped Our Lives	Pop culture shaped us—that's both good and terrifying.
-	-	Media To Ask Judge To Release Trump Search Warrant Affidavit	The media's really pushing for transparency—hope the judge has good reading glasses.
-	-	Gas Prices Dip Just Below $4 For The First Time In 5 Months	Breaking news: gas prices finally dropped—celebrate by buying more gas.
-	-	Snoop Dogg Gives His Full-Time Blunt Roller A Raise Amid Inflation: 'Their Salary Went Up!'	Snoop employs a full-time blunt roller—and pays better than most tech companies.
-	-	Strict Coronavirus Shutdowns In China Continue As Infections Rise	China's locking down harder while infections rise—that's Zero-COVID paranoia meeting physics.
-	-	Citing Imminent Danger Cloudflare Drops Hate Site Kiwi Farms	Turns out even the cloud has standards—and Kiwi Farms didn't make the cut.
-	-	Ted Cruz Imagines 'Taking Peyote' Nude During His Upcoming Yale Appearance	Ted said he'd take peyote naked at Yale. Sir, this is a Wendy's.
-	-	Despite GOP Attacks, Parents Are Pretty Happy With Their Kids' Schools, Poll Finds	Parents like their schools—that destroys the GOP narrative that schools are indoctrination camps, which is obviously false.
-	-	Key Dem Manchin Says He'll Back Jackson For Supreme Court	Manchin supports Jackson. Shocking—a politician doing the right thing.
-	-	Russia Uses New Hypersonic Missile For First Time In Ukraine	Russia used a new missile. They're introducing new ways to kill people.
-	-	Arcade Fire Singer Win Butler Accused Of Sexual Misconduct By Several People: Report	The fire's spreading—and not in a good way.
-	-	Russian Forces Target Airports In Western Ukraine, Far From Main Offensive	Russia's bombing airports. That's saying 'we want total control.'
-	-	Jak Knight, Stand-Up Comedian And 'Big Mouth' Writer And Actor, Dies At 28	He was funny and young—now he's just a memory.
-	-	Easy Ways To Save Money When You Order An Iced Coffee	Save money on coffee—the secret is not buying it, but that costs willpower.
-	-	Lawyers Appeal Brittney Griner's Russian Prison Sentence	They're appealing faster than Russia can say 'nyet.'
-	-	Elon Musk Reportedly Had Twins Last Year With One Of His Company Execs	Elon had twins with a company exec—that's what we call workplace productivity.
-	-	The Rise Of The BBL: How Getting A Brazilian Butt Lift Impacted These Patients	BBL surgery is booming—that's the body modification economy.
-	-	Rain Cascades From Vegas Casino Ceilings As Thunderstorms Flood Desert	Vegas casinos got flooded—and the house didn't win this one.
-	-	Utah Gov. Spencer Cox Says He Plans To Veto Trans Sports Ban Bill	A governor's vetoing a trans sports ban. That's actually human rights happening.
-	-	Google Engineer On Leave After He Claims AI Program Has Gone Sentient	A Google engineer said AI is sentient—Google's response: 'thanks for the input, we're putting you on leave.'
-	-	MLB Cancels Opening Day As Labor Dispute Continues	MLB cancelled Opening Day for labor disputes. Baseball's broken.
-	-	'Catastrophic Failure' At Research Center Kills About 21,000 Fish	That's a lot of fish with a lot of problems—all man-made.
-	-	Tom Brady Announces He's Not Retiring After All: 'My Place Is Still On The Field'	Tom Brady un-retired. He said 'my place is on the field'—dude, your place is RETIRED.
-	-	Biden To Give First State Of The Union Address At Fraught Moment	Biden's giving the State of the Union during a war. That's heavy.
-	-	Trump Trapped By 'Ego' In 2020; GOP Should Leave Him There, Slams New York Post	The NY Post says ego trapped Trump—that's rich coming from a Republican paper.
-	-	Appeals Court Rules Florida Law On Social Media Unconstitutional	Florida's social media law got shot down—free speech won.
-	-	Salman Rushdie 'On The Road To Recovery,' Agent Says	After being stabbed, the only road he's on is the long one to healing.
happened	american	-	What happened to American? It kept happening. Worse each time.
thing	december	-	The thing about December is it feels like 42 days long.
talk	company	-	When I talk too much, even my own company gets tired of me.
look	kidding	-	You look like you’re kidding… but your face says otherwise.
know	filmed	-	Did you know they filmed my failure? It’s now a motivational video—‘what not to do.’
born	guess	-	I was born, I guess… no manual included.
sure	built	-	Sure, built this schedule; accidentally included panic breaks.
think	similar	-	Think similar thoughts. We're all thinking the same failures. Hivemind of regret.
going	played	-	I’m going to play… mostly with my feelings.
never	areas	-	Never—areas of concern. All regions are problematic. Geographic universality of failure.
thank	kingdom	-	I thank the kingdom. He asked, For what? I replied, For being far away.
thank	boyfriend	-	I thank your boyfriend. He asked, For what? I replied, For taking you away.
keep	football	-	Keep the football—I'm just here for the halftime snacks.
last	university	-	Last university day… finally free, but sad for snacks.
right	attention	-	You're right—attention deficit. Of resources. Of caring. Of hope.
look	alice	-	Look at Alice. She looks so happy. I said, Alice is actually miserable. He replied, She's still looking better than misery.
number	married	-	The number of married people in the group chat directly predicts the number of baby photos. ​
never	william	-	Never trust William—he starts chaos and leaves quietly.
take	notable	-	Take note of notable people. They're notable for being notable. Circular excellence.
good	raised	-	That's good and raised. I asked, Both? He replied, At the same time.
right	effects	-	You’re right, effects are dramatic… mostly in movies.
want	british	-	I want a British accent so my complaints sound sophisticated. ​
want	heaven	-	I want heaven… or at least an eternal chocolate supply.
right	kelly	-	You’re right, Kelly—if coffee were a personality type, we’d both be espresso.
thank	touch	-	I thank you for the touch. He said, I didn't touch you. I replied, Exactly—that's why I thank you.
name	scared	-	Say my name—scared yet? You should be.
glad	used	-	I'm glad you used my advice. He said, I did the opposite. I replied, I'm still glad—that still counts as using it.
trying	states	-	I’m trying to manage my states of panic.
thank	research	-	Thank you, research… for proving I should’ve stayed in bed.
right	universe	-	You’re right, the universe has jokes—mostly about my life.
right	ruin	-	You're right—this ruins it. Everything. Very efficient destruction.
like	athletic	-	I like to *look* athletic, not *be* athletic.
need	november	-	I need November to chill—my wallet can’t handle all the sales.
going	services	-	I’m going to services… mostly the coffee station.
thank	society	-	I thank society for inventing weekends; pity they’re only two days long. ​
know	campaign	-	I know the campaign—mostly procrastination propaganda.
four	thanks	-	Four thanks for surviving another day without drama.
find	production	-	I couldn’t find the production team for my life—plot holes everywhere.
please	north	-	Please, North, lead me somewhere warmer.
fine	population	-	It's fine, the population thinks the traffic is normal because everyone's stuck in it together. ​
things	france	-	Things are fancy in France—my life is fancy-adjacent.
please	accident	-	Please, accident or snack ambush? You decide.
look	lord	-	Look, Lord… at my majestic procrastination skills.
born	anybody	-	Born to be anybody. Ended up being nobody. Trajectory achieved.
like	qualification	-	I like qualification. We're all qualified for disappointment. Certified.
used	tonight	-	I used to stay in tonight, but my couch staged an intervention.
look	grew	-	Look at how you grew—straight up into disillusionment. Very thorough.
much	council	-	The council talks so much that the coffee budget deserves its own meeting. ​
hello	every	-	Hello—every day. He asked, Every day what? I replied, Without you would be better.
everything	university	-	Everything about university screams, 'Prepare for sleepless nights!'
right	introduced	-	You’re right, I introduced myself—now I want to undo it.
listen	army	-	I listen to the army of notifications on my phone.
talking	hello	-	I'm talking—hello to my echo. It's the only thing that responds. Communication via self-replication.
tell	nature	-	Don’t tell nature—she’ll send rain out of spite.
guys	became	-	You guys became quiet—who died? Oh, the vibe.
excuse	west	-	What's your excuse for going west? I said, I needed distance. He replied, Good.
know	heavily	-	I know this heavily affects me. My friend asked, How heavily? I replied, I'm now a pancake.
guys	division	-	Guys, division of churros is a serious humanitarian mission.
right	useful	-	You're right—useful things. We have none. Uselessness achieved.
well	greene	-	How is Greene doing well? He's not—he just tells everyone he's well and calls it marketing.
know	iowa	-	"You know it’s Iowa when the directions start with ""turn left at the big corn field."" ​"
give	whoa	-	Give me a ‘whoa,’ not a ‘wow’—I like dramatic reactions.
know	rear	-	I know the rear exit is safer, but my dignity wants the main door.
like	radar	-	I like radar. Detecting things. Still can't avoid collision.
something	holy	-	Something holy is happening. Unfortunately, it's also unholy, which cancels it out. Math.
thank	choice	-	Thank choice—mostly the dessert menu.
stop	published	-	Stop everything—it just got published and my embarrassment went public.
want	society	-	I want society to chill, but society wants chaos.
going	awarded	-	If effort alone got you awarded, every group chat admin would have a medal. ​
know	removed	-	I know removed things hurt… especially my favorite snacks.
good	signal	-	That's good signal. We're transmitting our failures clearly. Excellent reception.
hello	whatever	-	"I said hello; they replied ""whatever,"" so I logged it as successful networking. ​"
play	sighs	-	She plays the piano; I contribute the sighs for dramatic effect.
sure	episode	-	You sure that episode was relaxing? My heart rate says otherwise.
thank	january	-	Thank January for the cold—it keeps my excuses fresh.
make	birthday	-	I tried to make a birthday cake, but it declared independence.
know	existing	-	I know the secret to existing. My therapist asked, What is it? I replied, Existing—it's the only way I know to exist.
know	historic	-	I know historic moments—mostly the ones where I sleep through class.
know	convicted	-	I know the convicted. They're honest about failure. Refreshingly direct approach to life.
like	alexander	-	I like Alexander, but his vibes are 'conquer the world' and I’m 'conquer one assignment.'
hello	across	-	Hello from across the room—I’m avoiding social interaction.
laughs	american	-	He laughs like an American. I asked, How? He replied, Loudly and at nothing funny.
safe	work	-	It's safe to say work is not my personality, just my paycheck. ​
also	boyfriend	-	He's also your boyfriend? I said, Was. He replied, Good, he's also relieved.
great	month	-	That was a great month. I said, Really? He replied, No, I'm lying to be kind.
could	birthplace	-	I could visit your birthplace, but will it haunt me with nostalgia?
please	result	-	Please let the result be good—I even prayed over my calculator.
right	assault	-	You’re right, that deadline assaulted my peace.
nothing	henry	-	Nothing Henry can do… except judge my life choices.
give	located	-	Give me the address—I can’t find where this is located.
really	data	-	I really checked the data—it said ‘you’re wrong.’
baby	team	-	Our team acted like a well-oiled machine—until someone said 'baby photos' and everything fell apart.
like	jacob	-	I didn’t say I like Jacob, but my playlist accidentally exposed me.
find	league	-	I tried to find the league… ended up in a pizza line instead.
name	plan	-	Every project gets a fancy name and a vague plan; guess which one survives. ​
first	females	-	First females arrive—confused. It's not better here. Equal opportunity disappointment achieved.
born	help	-	I was born to help… myself to snacks.
minutes	friend	-	Give me five minutes with your friend. I asked, Why? He replied, Because five minutes is enough time for anyone to become my best friend.
tomorrow	united	-	Tomorrow we'll be united—me and my assignments fighting for survival.
back	cousin	-	Get back to your cousin. I asked, Why? He replied, So we're both miserable.
thank	august	-	I tried to thank August for the warm weather, but it just gave me a heatwave.
know	formerly	-	I know I was formerly productive… what happened?
times	north	-	Times north multiplied. More failure in different direction. Expansion.
want	historic	-	"I want a historic city view, but my wallet keeps voting for ""suburbs with good Wi‑Fi."" ​"
matter	line	-	No matter the line, I’ll cross it… for snacks.
baby	thinking	-	Baby—thinking too. We're all confused. Age irrelevant.
worry	team	-	Worry team about deadlines; I worry about dessert.
really	file	-	I really filed paperwork… mostly under panic.
anything	officer	-	Anything you say, officer—except my browser history.
right	electronic	-	You're right—this is electronic. I said, And? He replied, And it's not helping.
wrong	july	-	You’re wrong—July is too hot for personality development.
thank	systems	-	Thank you, systems update, for restarting my laptop at the worst time possible.
mean	seven	-	What do you mean seven? It's just lucky number six had better marketing. Both unlucky.
thank	industry	-	I thank the industry. He asked, For what? I replied, For employing people despite their incompetence.
guess	album	-	Guess album dropped… my playlist of chaos.
high	understand	-	High hopes, low understanding… my life in a nutshell.
well	hates	-	How well does he hate this? Perfectly. He asked, Why? I said, Practice.
must	species	-	We must study this species. I said, Why? He replied, To understand failure.
please	rock	-	Please rock—hard. We need disruption. Gentle failure is too boring.
anyway	south	-	Anyway, heading south feels like running from responsibilities.
know	arts	-	I know arts is creative—but my stick figures disagree.
nothing	division	-	Nothing causes division faster than asking a team where to order lunch from. ​
course	hands	-	Of course hands want things—they're always reaching for more. Usually failure.
thanks	watch	-	Thanks for watching. He said, I didn't have a choice. I replied, That's the only thanks I need.
good	renamed	-	It’s good my phone can be renamed, because 'Productivity Machine' was lying.
wait	water	-	Wait, water… my thirst is impatient.
know	zone	-	I know the zone is restricted—that’s why it calls to me.
think	completed	-	I think completed means… eventually, maybe, sort of.
mind	district	-	In my mind, I live in a peaceful district. In reality, it’s chaos central.
ship	really	-	The ship was really slow—snails were sending complaint letters.
know	rail	-	I know rail systems exist… and my patience does not.
worry	american	-	Worry is very American. We exported it globally. Now everyone's anxious. Mission accomplished.
know	december	-	By December I know my resolutions so well that I schedule them directly for next year. ​
hear	within	-	I hear within… mostly the calls of my snack conscience.
right	fort	-	You’re right, the fort is strong… unlike my willpower.
sighs	season	-	The sighing season is here. I asked, When does it end? He replied, Never.
hello	body	-	Hello body, please cooperate today.
want	silver	-	I want a silver medal in life—at least then I know I tried.
sure	started	-	Sure, started well… ended terribly, as expected.
right	primary	-	You’re right, primary colors are important—especially for my coloring book skills.
-	-	'The Mandalorian' Crew's Biggest Worry About Baby Yoda Seems Kind Of Ridiculous Now	The crew worried about Baby Yoda—now everyone loves him.
-	-	Las Vegas Teen Accused Of Attempting To Murder His Teacher	A Vegas teen tried to kill his teacher—that's school violence hitting new levels.
-	-	Mehmet Oz Misspells Pennsylvania Address On Candidacy Form And Twitter Has Jokes	Oz misspelled Pennsylvania on his Senate candidacy form—that's not a good look for a guy running in Pennsylvania.
-	-	'Oh No': Dave Coulier Recalls Hearing Alanis Morissette's 'You Oughta Know' For First Time	He heard 'You Oughta Know' for the first time—and realized it was about him.
-	-	Trevante Rhodes Is Mike Tyson In Fighting Form On New Hulu Series	Trevante plays Tyson—and the muscles are actually real, not CGI.
-	-	Feathers Fly As Wild Turkey Dodges Cops In Slapstick Apartment Chase	Turkey: 1, Cops: 0—and the feathers are everywhere.
-	-	Political Violence Is The New American Normal	We've normalized violence—and that's the scariest headline of all.
-	-	A Whole New Galaxy Of 'Star Wars' Projects Is Coming Your Way	Star Wars projects keep multiplying—hopefully some are actually good.
-	-	Unprecedented Gusts Expected To Fan Wildfires In New Mexico	New Mexico's about to get massive winds that'll spread wildfires—that's nature's way of saying 'I'm going to ruin your week.'
-	-	'Menudo: Forever Young' Looks At The Exploitative Nature Of Boy Bands	Menudo documentary exposes exploitation—boy bands had dark sides.
-	-	Canada Will Allow Americans To Cross The Border For Abortions: Trudeau	Canada's welcoming American women for abortions—healthcare as tourism.
-	-	Christian Nationalism On The Rise In Some GOP Campaigns	Christian nationalism's rising in GOP—theocracy is just one election away.
-	-	New York Post, Wall Street Journal Editorial Boards Condemn Trump	Even conservative papers are over it—that's how bad it is.
-	-	New York Times Tech Workers Vote To Unionize	Times tech workers unionized. Even journalists are organizing.
-	-	'The Idol' Trailer Stars Lily-Rose Depp In 'Sleaziest Love Story' With The Weeknd	It's the sleaziest love story—starring Depp and The Weeknd.
-	-	3 Injured In Shooting At Six Flags Great America Park Near Chicago	Six Flags: where the only thing scarier than the rides is the gunfire.
-	-	Alec Baldwin Denies Responsibility For Fatal 'Rust' Shooting In New Court Filing	Alec denied responsibility for the shooting. This is gonna be a LONG lawsuit.
-	-	Dave Chappelle Reveals 'Very Fitting Goodbye' Last Time He Saw Norm Macdonald	Dave's last moment with Norm was perfect—and now we're all crying about it.
-	-	Kody Clemens, Roger Clemens' Son, Set To Make Major League Debut With Detroit Tigers	Kody's making his debut—let's see if he inherited more than just the name.
-	-	China Weighs Exit From 'Zero COVID' And The Risks Involved	China's leaving Zero-COVID. After 2 years: 'Yeah, we were wrong.'
-	-	Jennifer Lopez Gets Emotional Talking About Her 'Ride Or Die' At The MTV Movie & TV Awards	JLo got emotional—about loyalty in an industry that's all about betrayal.
-	-	Harvey Weinstein Facing Criminal Charges For Alleged 1996 Assault In London	Weinstein's facing more charges—the list is longer than his prison sentence will be.
-	-	Rep. Marjorie Taylor Greene Says Rep. Alexandria Ocasio-Cortez Should Thank Her Sexual Harasser	MTG's defending sexual harassment—because solidarity doesn't exist on the right.
-	-	Ukraine President Volodymyr Zelenskyy To Appeal To U.S. Lawmakers For More Help Against Russia	Zelenskyy's asking Congress for help. That's like asking your drunk uncle for advice—it might work but probably not.
-	-	Philadelphia To End Mask Mandate, Days After Reinstating It	Philly ended the mask mandate days after bringing it back—that's political whiplash nobody asked for.
-	-	New York City Declares Monkeypox A Public Health Emergency	New York's declaring emergencies faster than it can say 'fuggedabout it.'
-	-	Strong Japan Earthquake Kills 4, Injures 107	A strong earthquake hit Japan. Nature doesn't care about your infrastructure.
-	-	Uvalde Children Grapple With Trauma After School Massacre	These kids are dealing with homework and horror at the same time.
-	-	General Motors Recalls Over 484,000 Vehicles Over 'Improperly'-Formed Seat Belts	GM's seat belts are about as reliable as their customer service.
-	-	Senator Ted Cruz Says Supreme Court Was Wrong In Same-Sex Marriage Ruling	Cruz thinks the court was wrong—because he's still fighting battles he lost.
-	-	Girl, 10, Reportedly Forced To Travel Out Of State For Abortion	A 10-year-old had to travel for an abortion—and we're supposed to be civilized.
-	-	Trump Tried To Call White House Support Staffer Who Was Talking To Jan. 6 Panel: Report	He tried to call a witness—because intimidation is subtle with Trump.
-	-	Hillary Clinton To Voice The Giant In Arkansas Production Of 'Into The Woods'	Hillary's voicing a giant. That's either zen or depressing—I can't tell which.
-	-	The Race To Replace Boris Johnson As Prime Minister Is Down To These 2 Candidates	Down to two—and neither of them are Johnson which is progress.
-	-	White House Says Story That Bird Pooped On Joe Biden Is Just Crap	The White House denied a bird pooped on Biden—that's the most absurd denial ever and also probably true.
-	-	Purdue Pharma, US States Agree To New Opioid Settlement	Purdue settled the opioid lawsuit. That's money but not justice.
-	-	Ingraham Guest Says 'No Reason Whatsoever' For Ukrainian Refugees To Come To U.S.	An Ingraham guest opposed Ukrainian refugees. This person woke up and chose hate.
-	-	Joe Manchin Backs West Virginia Republican In Primary Against MAGA Challenger	Manchin picked the Republican—that's basically his resignation letter.
-	-	Tropical Storm Danielle Strengthens Into Hurricane, No Current Threat To Land	Danielle's getting stronger but staying offshore—for now she's just showing off.
-	-	Mikhail Gorbachev's 1998 Pizza Hut Ad Resurfaces After His Death	He went from ending the Cold War to selling hot pizza—what a career arc.
really	route	-	I really tried to follow the route, but my brain took a detour.
right	furniture	-	You're right about the furniture. I asked, What am I right about? He said, That it's there.
right	senate	-	You’re right, the senate debates better than our group chat.
come	opened	-	I came, I saw, I opened the fridge… and forgot why.
call	references	-	Call my references. I said, Do you have any? He replied, Do I need them?
think	born	-	People think I was born organized, but my sock drawer files a strong objection. ​
look	period	-	Look, this period of my life is sponsored by chaos.
want	corps	-	What do you want? Corps. Dead. But organized. Very military about decay.
home	problem	-	At home, the problem grows. I said, What problem? He replied, You being here.
right	surrounded	-	You’re right, surrounded by cookies is ideal.
know	gear	-	I know gear is important… mostly in video games.
johnny	take	-	Johnny, take this job. He said, I'd rather not. I replied, That's Johnny for you.
know	belgian	-	I know a Belgian. He asked, What about me? I replied, Nothing special—you're just waffles in a country.
thing	near	-	The thing is, every deadline is near, and so is my meltdown.
call	served	-	Call me when dinner is served—that’s my love language.
find	heard	-	I find what I heard… mostly excuses for naps.
tell	wood	-	Don’t tell me it’s made of wood—I can hear the termites cheering.
safe	great	-	Is that safe and great? I asked, Can something be both? He replied, Usually not at the same time.
right	offers	-	You're right, the offers are limited; so is my trust in pop-up ads. ​
thought	royal	-	Thought royal. Treated like kings. Of nothing. Monarchy of void.
right	appearance	-	You’re right, appearances matter… until reality barges in.
